회사명,거래소코드,회계년도,[U01160000]자본(*)(천원),[U01167200]      *당기순이익(천원),[U01160000]자본(*)(연결)(천원),[U01167200]         *당기순이익(연결)(천원),[U01A600000000]자본(*)(IFRS)(천원),[U01B840000000]당기순이익(손실)(IFRS)(천원),[U01A600000000]자본(*)(IFRS연결)(천원),[U01B840000000]당기순이익(손실)(IFRS연결)(천원)
(주)강원에너지,114190,2013/12,45877155.0,3922208.0,,,45877155.0,3922208.0,,
(주)강원에너지,114190,2014/12,50445491.0,1123194.0,,,50445491.0,1123194.0,,
(주)강원에너지,114190,2015/12,54880924.0,885783.0,56583901.0,97228.0,54880924.0,885783.0,56583901.0,102482.0
(주)강원에너지,114190,2016/12,53746356.0,-762058.0,55088690.0,-1060023.0,53746356.0,-762058.0,55088690.0,-1125371.0
(주)강원에너지,114190,2017/12,47117020.0,-6291307.0,48303010.0,-6212246.0,47117020.0,-6291307.0,48303010.0,-6451819.0
(주)강원에너지,114190,2018/12,49286354.0,1977524.0,50203707.0,1977524.0,49286354.0,1977524.0,50203707.0,1708887.0
(주)강원에너지,114190,2019/12,22904034.0,-33460765.0,21124556.0,-32887275.0,22904034.0,-33460765.0,21124556.0,-35647438.0
(주)강원에너지,114190,2020/12,17211371.0,-14039206.0,17096338.0,-12375907.0,17211371.0,-14039206.0,17096338.0,-12874763.0
(주)강원에너지,114190,2021/12,28593603.0,5795694.0,,,28593603.0,5795694.0,,
(주)강원에너지,114190,2022/12,30451208.0,1589418.0,32317889.0,3456098.0,30451208.0,1589418.0,32317889.0,3456098.0
(주)고려시멘트,198440,2014/12,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,
(주)고려시멘트,198440,2017/12,77394108.0,1003761.0,,,77394108.0,1003761.0,,
(주)고려시멘트,198440,2018/12,86510962.0,4645869.0,,,86510962.0,4645869.0,,
(주)고려시멘트,198440,2019/12,88445378.0,3396444.0,,,88445378.0,3396444.0,,
(주)고려시멘트,198440,2020/12,92362134.0,4445204.0,,,92362134.0,4445204.0,,
(주)고려시멘트,198440,2021/12,117150863.0,4638804.0,,,117150863.0,4638804.0,,
(주)고려시멘트,198440,2022/12,109334429.0,-7760971.0,,,109334429.0,-7760971.0,,
(주)고바이오랩,348150,2019/12,-53757039.0,-44214672.0,-53623865.0,-44066665.0,-53757039.0,-44214672.0,-53623865.0,-44066665.0
(주)고바이오랩,348150,2020/12,54133946.0,-56315205.0,55390674.0,-55072387.0,54133946.0,-56315205.0,55390674.0,-55072387.0
(주)고바이오랩,348150,2021/12,87385334.0,-17475045.0,90588508.0,-15381916.0,87385334.0,-17475045.0,90588508.0,-15381916.0
(주)고바이오랩,348150,2022/12,84939725.0,-14754954.0,95454891.0,-21921424.0,84939725.0,-14754954.0,95454891.0,-23385891.0
(주)골드앤에스,35290,2012/12,26252682.0,-6036290.0,25517817.0,-6468200.0,26252682.0,-6036290.0,25517817.0,-6467495.0
(주)골드앤에스,35290,2013/12,9813150.0,-16378087.0,13127355.0,-15455622.0,9813150.0,-16378087.0,13127355.0,-16837473.0
(주)골드앤에스,35290,2014/12,9084260.0,-8058617.0,12082621.0,-8573090.0,9084260.0,-8058617.0,12082621.0,-9319175.0
(주)골드앤에스,35290,2015/12,14991660.0,-9396462.0,15160254.0,-9145958.0,14991660.0,-9396462.0,15160254.0,-9502547.0
(주)골드앤에스,35290,2016/12,14102143.0,388207.0,14268527.0,390433.0,14102143.0,388207.0,14268527.0,390367.0
(주)골드앤에스,35290,2017/12,13104737.0,-8062623.0,13346076.0,-7968916.0,13104737.0,-8062623.0,13346076.0,-7975875.0
(주)골드앤에스,35290,2018/12,13867013.0,-4045846.0,13779569.0,-4381347.0,13867013.0,-4045846.0,13779569.0,-4380399.0
(주)골드앤에스,35290,2019/12,-5001092.0,-24883215.0,-5091573.0,-24883278.0,-5001092.0,-24883215.0,-5091573.0,-24883278.0
(주)골드앤에스,35290,2020/12,14488649.0,1635730.0,14398168.0,1635730.0,14488649.0,1635730.0,14398168.0,1635730.0
(주)골드앤에스,35290,2021/12,15266435.0,770698.0,15175954.0,770698.0,15266435.0,770698.0,15175954.0,770698.0
(주)골드앤에스,35290,2022/12,14641964.0,-6253681.0,14551483.0,-6253681.0,14641964.0,-6253681.0,14551483.0,-6253681.0
(주)공구우먼,366030,2017/12,10931057.0,3381717.0,,,,,,
(주)공구우먼,366030,2018/12,13817444.0,2886388.0,,,,,,
(주)공구우먼,366030,2019/12,16865645.0,3048201.0,,,,,,
(주)공구우먼,366030,2020/12,21254528.0,4345851.0,,,21254528.0,4345851.0,,
(주)공구우먼,366030,2021/12,27118796.0,8764033.0,,,27118796.0,8764033.0,,
(주)공구우먼,366030,2022/12,59297313.0,11327936.0,,,59297313.0,11327936.0,,
(주)광명전기,17040,2012/12,55136666.0,-1564026.0,62992204.0,692942.0,55136666.0,-1564026.0,62992204.0,407617.0
(주)광명전기,17040,2013/12,60793004.0,5301060.0,69847678.0,5776408.0,60793004.0,5301060.0,69847678.0,6473480.0
(주)광명전기,17040,2014/12,67539909.0,6978508.0,78696030.0,8338621.0,67539909.0,6978508.0,78696030.0,9107331.0
(주)광명전기,17040,2015/12,71275955.0,3442541.0,87829336.0,6416237.0,71275955.0,3442541.0,87829336.0,8891002.0
(주)광명전기,17040,2016/12,86335358.0,15612709.0,98063360.0,9820993.0,86335358.0,15612709.0,98063360.0,11593891.0
(주)광명전기,17040,2017/12,85430878.0,-1349854.0,96648221.0,-1951572.0,85430878.0,-1349854.0,96648221.0,-2043260.0
(주)광명전기,17040,2018/12,87989865.0,3182514.0,98748349.0,2608607.0,87989865.0,3182514.0,98748349.0,2718092.0
(주)광명전기,17040,2019/12,94186043.0,6470387.0,105398860.0,8010727.0,94186043.0,6470387.0,105398860.0,7118200.0
(주)광명전기,17040,2020/12,98896645.0,4892166.0,109787206.0,4672869.0,98896645.0,4892166.0,109787206.0,4529827.0
(주)광명전기,17040,2021/12,102991759.0,4589096.0,115135261.0,5817611.0,102991759.0,4589096.0,115135261.0,5858898.0
(주)광명전기,17040,2022/12,105014518.0,4153557.0,118870746.0,5379101.0,105014518.0,4153557.0,118870746.0,5635248.0
(주)광무,29480,2012/12,36518143.0,-15113066.0,29507217.0,-10689029.0,36518143.0,-15113066.0,29507217.0,-10689029.0
(주)광무,29480,2013/12,11346800.0,-33154332.0,8786699.0,-28721377.0,11346800.0,-33154332.0,8786699.0,-28721377.0
(주)광무,29480,2014/12,8505450.0,-859721.0,,,8505450.0,-859721.0,,
(주)광무,29480,2015/12,7744452.0,-2727754.0,,,7744452.0,-2727754.0,,
(주)광무,29480,2016/12,8053231.0,95615.0,,,8053231.0,95615.0,,
(주)광무,29480,2017/12,13552175.0,-3352682.0,,,13552175.0,-3352682.0,,
(주)광무,29480,2018/12,9695091.0,-4875184.0,10729216.0,-4963400.0,9695091.0,-4875184.0,10729216.0,-5120760.0
(주)광무,29480,2019/12,22202195.0,-6275093.0,22844122.0,-6151118.0,22202195.0,-6275093.0,22844122.0,-6421201.0
(주)광무,29480,2020/12,24203641.0,-19141822.0,24221981.0,-19194429.0,24203641.0,-19141822.0,24221981.0,-19325974.0
(주)광무,29480,2021/12,50613006.0,-880063.0,50960246.0,-756725.0,50613006.0,-880063.0,50960246.0,-758185.0
(주)광무,29480,2022/12,80095033.0,-7441364.0,80095780.0,-7366384.0,80095033.0,-7441364.0,80095780.0,-7366384.0
(주)구영테크,53270,2012/12,29302171.0,1250176.0,36686891.0,1611951.0,29302171.0,1250176.0,36686891.0,1633009.0
(주)구영테크,53270,2013/12,30762180.0,1137402.0,39023837.0,2126039.0,30762180.0,1137402.0,39023837.0,2179847.0
(주)구영테크,53270,2014/12,42200180.0,1326679.0,52212920.0,2123259.0,42200180.0,1326679.0,52212920.0,2236588.0
(주)구영테크,53270,2015/12,44066560.0,3196300.0,56401223.0,4126091.0,44066560.0,3196300.0,56401223.0,4158785.0
(주)구영테크,53270,2016/12,46429602.0,3920237.0,57780291.0,2602696.0,46429602.0,3920237.0,57780291.0,2542450.0
(주)구영테크,53270,2017/12,47102417.0,1239184.0,55811041.0,1462116.0,47102417.0,1239184.0,55811041.0,1357296.0
(주)구영테크,53270,2018/12,57861349.0,3912117.0,68827896.0,5934229.0,57861349.0,3912117.0,68827896.0,5920905.0
(주)구영테크,53270,2019/12,58668784.0,1558141.0,71704257.0,3353401.0,58668784.0,1558141.0,71704257.0,3387486.0
(주)구영테크,53270,2020/12,58729775.0,901721.0,69507562.0,727487.0,58729775.0,901721.0,69507562.0,727487.0
(주)구영테크,53270,2021/12,61940307.0,2852890.0,76272000.0,3129413.0,61940307.0,2852890.0,76272000.0,3129413.0
(주)구영테크,53270,2022/12,65682722.0,2971277.0,83425564.0,3975738.0,65682722.0,2971277.0,83425564.0,3975738.0
(주)국순당,43650,2012/12,186305726.0,5122888.0,191625826.0,6469536.0,186305726.0,5122888.0,191625826.0,6185532.0
(주)국순당,43650,2013/12,185985822.0,2346882.0,194567775.0,5435266.0,185985822.0,2346882.0,194567775.0,5742772.0
(주)국순당,43650,2014/12,186838479.0,1997559.0,196810690.0,3298522.0,186838479.0,1997559.0,196810690.0,3463226.0
(주)국순당,43650,2015/12,186118215.0,-4854598.0,198167277.0,-3711327.0,186118215.0,-4854598.0,198167277.0,-3529405.0
(주)국순당,43650,2016/12,183188543.0,-2212642.0,194018641.0,-2650042.0,183188543.0,-2212642.0,194018641.0,-2760688.0
(주)국순당,43650,2017/12,191745752.0,9847390.0,221539252.0,9931130.0,191745752.0,9847390.0,221539252.0,9687855.0
(주)국순당,43650,2018/12,203499644.0,15171022.0,215679919.0,-2705736.0,203499644.0,15171022.0,215679919.0,-2977369.0
(주)국순당,43650,2019/12,196923842.0,571892.0,204958649.0,-5093416.0,196923842.0,571892.0,204958649.0,-8269903.0
(주)국순당,43650,2020/12,210249290.0,15417535.0,222502376.0,18700663.0,210249290.0,15417535.0,222502376.0,18661685.0
(주)국순당,43650,2021/12,224094527.0,16884403.0,242822099.0,21545268.0,224094527.0,16884403.0,242822099.0,21549454.0
(주)국순당,43650,2022/12,221867182.0,1888693.0,234352561.0,-4640937.0,221867182.0,1888693.0,234352561.0,-4569045.0
(주)국영지앤엠,6050,2012/12,45960267.0,4832440.0,,,45960267.0,4832440.0,,
(주)국영지앤엠,6050,2013/12,46345349.0,953338.0,,,46345349.0,953338.0,,
(주)국영지앤엠,6050,2014/12,47240880.0,395531.0,,,47240880.0,395531.0,,
(주)국영지앤엠,6050,2015/12,48972537.0,-533927.0,,,48972537.0,-533927.0,,
(주)국영지앤엠,6050,2016/12,50558041.0,385503.0,,,50558041.0,385503.0,,
(주)국영지앤엠,6050,2017/12,52611544.0,1431624.0,,,52611544.0,1431624.0,,
(주)국영지앤엠,6050,2018/12,51748308.0,-354808.0,,,51748308.0,-354808.0,,
(주)국영지앤엠,6050,2019/12,52826451.0,1089819.0,,,52826451.0,1089819.0,,
(주)국영지앤엠,6050,2020/12,51012563.0,-1305459.0,,,51012563.0,-1305459.0,,
(주)국영지앤엠,6050,2021/12,46152128.0,-4860436.0,,,46152128.0,-4860436.0,,
(주)국영지앤엠,6050,2022/12,48009754.0,1857626.0,,,48009754.0,1857626.0,,
(주)국전약품,307750,2018/12,,,,,,,,
(주)국전약품,307750,2019/12,,,,,,,,
(주)국전약품,307750,2020/12,32230044.0,-3316511.0,,,32230044.0,-3316511.0,,
(주)국전약품,307750,2021/12,83150495.0,4038005.0,,,83150495.0,4038005.0,,
(주)국전약품,307750,2022/12,91647202.0,8680896.0,92323187.0,8947843.0,91647202.0,8680896.0,92323187.0,8877145.0
(주)그린플러스,186230,2012/12,12712052.0,776435.0,,,,,,
(주)그린플러스,186230,2013/12,11609179.0,417300.0,,,,,,
(주)그린플러스,186230,2014/12,11112629.0,424659.0,,,,,,
(주)그린플러스,186230,2015/12,14756965.0,2238350.0,,,,,,
(주)그린플러스,186230,2016/12,22222859.0,1403209.0,,,,,,
(주)그린플러스,186230,2017/12,24240199.0,1755432.0,,,,,,
(주)그린플러스,186230,2018/12,23476181.0,2213241.0,23995551.0,2196114.0,23476181.0,2213241.0,23995551.0,2269801.0
(주)그린플러스,186230,2019/12,36772875.0,2435883.0,37391337.0,2494795.0,36772875.0,2435883.0,37391337.0,2533086.0
(주)그린플러스,186230,2020/12,33448330.0,-1930086.0,34033434.0,-1930086.0,33448330.0,-1930086.0,34033434.0,-2138595.0
(주)그린플러스,186230,2021/12,60388933.0,-4044435.0,60808874.0,-4044435.0,60388933.0,-4044435.0,60808874.0,-4744141.0
(주)그린플러스,186230,2022/12,60400937.0,-2978395.0,60720614.0,-2696305.0,60400937.0,-2978395.0,60720614.0,-3517012.0
(주)기가레인,49080,2013/12,62596675.0,11073413.0,62386212.0,10828194.0,62596675.0,11073413.0,62386212.0,10828194.0
(주)기가레인,49080,2014/12,77078658.0,9064933.0,75572002.0,7764423.0,77078658.0,9064933.0,75572002.0,7764423.0
(주)기가레인,49080,2015/12,65461853.0,-14035109.0,65744609.0,-13369109.0,65461853.0,-14035109.0,65744609.0,-13369109.0
(주)기가레인,49080,2016/12,57063120.0,-10793714.0,57597489.0,-9914400.0,57063120.0,-10793714.0,57597489.0,-10347329.0
(주)기가레인,49080,2017/12,89023884.0,-401780.0,88669121.0,-1352223.0,89023884.0,-401780.0,88669121.0,-920801.0
(주)기가레인,49080,2018/12,66878280.0,-23731827.0,68560115.0,-21473107.0,66878280.0,-23731827.0,68560115.0,-21635992.0
(주)기가레인,49080,2019/12,27887641.0,-44243046.0,28064616.0,-45098865.0,27887641.0,-44243046.0,28064616.0,-46059977.0
(주)기가레인,49080,2020/12,50789244.0,-25137989.0,50346938.0,-25284314.0,50789244.0,-25137989.0,50346938.0,-25803274.0
(주)기가레인,49080,2021/12,63004832.0,4257640.0,62207216.0,3727095.0,63004832.0,4257639.0,62207216.0,3646956.0
(주)기가레인,49080,2022/12,63022670.0,-6729475.0,60946856.0,-8319576.0,63022670.0,-6729475.0,60946856.0,-8318196.0
(주)기산텔레콤,35460,2012/12,33918079.0,1433180.0,31516647.0,-605368.0,33918079.0,1433180.0,31516647.0,-1882261.0
(주)기산텔레콤,35460,2013/12,36087855.0,2049347.0,36517480.0,3423163.0,36087855.0,2049347.0,36517480.0,3928729.0
(주)기산텔레콤,35460,2014/12,36429569.0,655537.0,38506780.0,2483274.0,36429569.0,655537.0,38506780.0,2744606.0
(주)기산텔레콤,35460,2015/12,38723216.0,564987.0,42259485.0,1465757.0,38723216.0,564987.0,42259485.0,1701580.0
(주)기산텔레콤,35460,2016/12,37420205.0,-1733928.0,39870843.0,-2496522.0,37420205.0,-1733928.0,39870843.0,-2639743.0
(주)기산텔레콤,35460,2017/12,35438291.0,-2085390.0,34992274.0,-4761723.0,35438291.0,-2085390.0,34992274.0,-5538516.0
(주)기산텔레콤,35460,2018/12,29246000.0,-5791304.0,31640999.0,-3283035.0,29246000.0,-5791304.0,31640999.0,-3327575.0
(주)기산텔레콤,35460,2019/12,31379895.0,2205257.0,34690964.0,3320095.0,31379895.0,2205257.0,34690964.0,3498486.0
(주)기산텔레콤,35460,2020/12,29889440.0,-1507052.0,35084369.0,48984.0,29889440.0,-1507052.0,35084369.0,337553.0
(주)기산텔레콤,35460,2021/12,27490489.0,-2534923.0,34478587.0,-1155284.0,27490489.0,-2534923.0,34478587.0,-679314.0
(주)기산텔레콤,35460,2022/12,29647262.0,1095743.0,39672781.0,3030375.0,29647262.0,1095743.0,39672781.0,3641875.0
(주)꿈비,407400,2021/12,5488867.0,1808477.0,5411204.0,1730814.0,5488867.0,1808477.0,5411204.0,1730814.0
(주)꿈비,407400,2022/12,8137566.0,1318475.0,8060474.0,1319045.0,8137566.0,1318475.0,8060474.0,1319045.0
(주)나노,187790,2014/12,,,,,,,,
(주)나노,187790,2015/12,31847169.0,-10306565.0,42659926.0,-8718601.0,31847169.0,-10306565.0,42659926.0,-8990586.0
(주)나노,187790,2016/12,27068246.0,-18008880.0,34319308.0,-22484674.0,27068246.0,-18008880.0,34319308.0,-24388859.0
(주)나노,187790,2017/12,37017160.0,-2829878.0,44902238.0,-45388.0,37017160.0,-2829878.0,44902238.0,89291.0
(주)나노,187790,2018/12,44484099.0,-5616504.0,59465317.0,-741741.0,44484099.0,-5616504.0,59465317.0,-467314.0
(주)나노,187790,2019/12,47992724.0,475680.0,62021912.0,461643.0,47992724.0,475680.0,62021912.0,-298564.0
(주)나노,187790,2020/12,43236671.0,-4657278.0,51620586.0,-7601087.0,43236671.0,-4657278.0,51620586.0,-10436378.0
(주)나노,187790,2021/12,29153791.0,-16406650.0,34832784.0,-14838266.0,29153791.0,-16406650.0,34832784.0,-15263993.0
(주)나노,187790,2022/12,21834975.0,-8615883.0,24708687.0,-9504299.0,21834975.0,-8615883.0,24708687.0,-12275472.0
(주)나노브릭,286750,2015/12,16958120.0,-6068828.0,,,,,,
(주)나노브릭,286750,2016/12,12446437.0,-5860097.0,,,,,,
(주)나노브릭,286750,2017/12,410963.0,-4415497.0,734346.0,-3999346.0,410963.0,-4415497.0,734346.0,-3770569.0
(주)나노브릭,286750,2018/12,1524203.0,1183722.0,1524203.0,859279.0,1524203.0,1183722.0,1524203.0,859279.0
(주)나노브릭,286750,2019/12,14149812.0,-763049.0,14149812.0,-780552.0,14149812.0,-763049.0,14149812.0,-780552.0
(주)나노브릭,286750,2020/12,14130587.0,-91587.0,,,14130587.0,-91587.0,,
(주)나노브릭,286750,2021/12,12409872.0,-2824300.0,,,12409872.0,-2824300.0,,
(주)나노브릭,286750,2022/12,10155349.0,-2609052.0,10144095.0,-2398820.0,10155349.0,-2609052.0,10144095.0,-2398820.0
(주)나노신소재,121600,2012/12,56696577.0,-1346877.0,56592559.0,-1446732.0,56696577.0,-1346877.0,56592559.0,-1446732.0
(주)나노신소재,121600,2013/12,57932739.0,1129993.0,57860945.0,1166791.0,57932739.0,1129993.0,57860945.0,1166791.0
(주)나노신소재,121600,2014/12,61576959.0,3733441.0,61578369.0,3793548.0,61576959.0,3733441.0,61578369.0,3793548.0
(주)나노신소재,121600,2015/12,73932499.0,7723716.0,73885201.0,7655911.0,73932499.0,7723716.0,73885201.0,7655911.0
(주)나노신소재,121600,2016/12,77643425.0,5955088.0,77589079.0,5940058.0,77643425.0,5955088.0,77589079.0,5940058.0
(주)나노신소재,121600,2017/12,82967807.0,6795716.0,82913399.0,6827889.0,82967807.0,6795716.0,82913399.0,6827889.0
(주)나노신소재,121600,2018/12,88802531.0,7577945.0,88855048.0,7671621.0,88802531.0,7577945.0,88855048.0,7671621.0
(주)나노신소재,121600,2019/12,93774861.0,5848754.0,93787590.0,5801286.0,93774861.0,5848754.0,93787590.0,5801286.0
(주)나노신소재,121600,2020/12,92286945.0,1764646.0,92144682.0,1649534.0,92286945.0,1764646.0,92144682.0,1649534.0
(주)나노신소재,121600,2021/12,100406338.0,8253049.0,99819922.0,7429568.0,100406338.0,8253049.0,99819922.0,7429568.0
(주)나노신소재,121600,2022/12,199769114.0,19007451.0,198894648.0,19180164.0,199769114.0,19007451.0,198894648.0,19180164.0
(주)나래나노텍,137080,2012/12,73389163.0,4307090.0,,,,,,
(주)나래나노텍,137080,2013/12,75067236.0,2981323.0,,,,,,
(주)나래나노텍,137080,2014/12,76441489.0,2156203.0,,,,,,
(주)나래나노텍,137080,2015/12,76938832.0,497343.0,,,,,,
(주)나래나노텍,137080,2016/12,77711782.0,772950.0,,,,,,
(주)나래나노텍,137080,2017/12,51612415.0,-18645087.0,,,51612415.0,-18645087.0,,
(주)나래나노텍,137080,2018/12,55300142.0,4967814.0,,,55300142.0,4967814.0,,
(주)나래나노텍,137080,2019/12,44380307.0,-10895330.0,,,44380307.0,-10895330.0,,
(주)나래나노텍,137080,2020/12,45963589.0,2272633.0,45920594.0,2232682.0,45963589.0,2272633.0,45920594.0,2232682.0
(주)나래나노텍,137080,2021/12,62536146.0,17411785.0,62573857.0,17471980.0,62536146.0,17411785.0,62573857.0,17471980.0
(주)나래나노텍,137080,2022/12,107833938.0,2443308.0,107968699.0,2521937.0,107833938.0,2443308.0,107968699.0,2521937.0
(주)나이벡,138610,2012/12,8856747.0,-1407065.0,,,8856747.0,-1407065.0,,
(주)나이벡,138610,2013/12,5822703.0,-3849754.0,,,5822703.0,-3849754.0,,
(주)나이벡,138610,2014/12,5078980.0,-3620685.0,,,5078980.0,-3620685.0,,
(주)나이벡,138610,2015/12,10818393.0,-2425875.0,,,10818393.0,-2425875.0,,
(주)나이벡,138610,2016/12,9841184.0,-3027189.0,,,9841184.0,-3027189.0,,
(주)나이벡,138610,2017/12,12361859.0,-2567612.0,,,12361859.0,-2567612.0,,
(주)나이벡,138610,2018/12,10575969.0,-4146156.0,,,10575969.0,-4146156.0,,
(주)나이벡,138610,2019/12,27404041.0,-2726636.0,,,27404041.0,-2726636.0,,
(주)나이벡,138610,2020/12,31839088.0,-3637627.0,,,31839088.0,-3637627.0,,
(주)나이벡,138610,2021/12,27344201.0,-5739767.0,,,27344201.0,-5739767.0,,
(주)나이벡,138610,2022/12,36800074.0,-3786975.0,,,36800074.0,-3786975.0,,
(주)나인테크,267320,2017/12,,,,,,,,
(주)나인테크,267320,2018/12,,,,,,,,
(주)나인테크,267320,2019/12,,,,,,,,
(주)나인테크,267320,2020/12,28418975.0,-1230558.0,,,28418975.0,-1230558.0,,
