회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01220010]매출원가(*)(연결)(천원),[U01221340]매출총이익(손실)(연결)(천원),[U01222170]판매비와관리비(영업비용)(*)(연결)(천원),[U01230000]영업이익(손실)(연결)(천원),[U01290000]법인세비용차감전(계속사업)손익(연결)(천원),[U01290100](계속사업손익)법인세비용(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(주)MH에탄올,023150,2021/12,102066937,58211274,43855663,23335313,23335313,11567974,2879109,45892137,37735794,8156342,3675428,3675428,5562062,623440,102066937,58211274,43855663,20520350,23335313,11567974,2879109,45892137,37735794,8156342,4480914,3675428,5562062,623440
(주)MH에탄올,023150,2022/12,110722402,67461914,43260488,21924889,21924889,10153257,-1752590,51400289,46700195,4700095,585536,585536,5577525,-107526,110722402,67461914,43260488,21335599,21924889,10153257,-1752590,51400289,46700195,4700095,4114559,585536,5577525,-107526
(주)가온칩스,399720,2022/12,43320505,31691771,11628734,3899765,3899765,4257558,-161220,43320505,31691771,11628734,3954532,3954533,4313408,-161664,43320505,31691771,11628734,7728968,3899765,4257558,-161220,43320505,31691771,11628734,7674201,3954533,4313408,-161664
(주)강스템바이오텍,217730,2015/12,,,,,,,,1484593,252810,1231784,-5125200,-5125201,-5754141,0,,,,,,,,1484593,252810,1231784,6356984,-5125201,-5754141,0
(주)강스템바이오텍,217730,2016/12,,,,,,,,842805,57688,785117,-9117541,-9117541,-10904082,-2603707,,,,,,,,842805,57688,785117,9902658,-9117541,-10904082,-2603707
(주)강스템바이오텍,217730,2017/12,9132939,5874047,3258892,-11737865,-11737865,-10124655,1407294,5394323,2402560,2991763,-11132505,-11132505,-9467198,1388644,9132939,5874047,3258892,14996757,-11737865,-10124655,1407294,5394323,2402560,2991763,14124268,-11132505,-9467198,1388644
(주)강스템바이오텍,217730,2018/12,9165454,7988195,1177260,-11693969,-11693969,-14063448,230584,1001039,276617,724422,-10525345,-10525345,-13173302,142911,9165454,7988195,1177260,12871228,-11693969,-14063448,230584,1001039,276617,724422,11249767,-10525345,-13173302,142911
(주)강스템바이오텍,217730,2019/12,6004584,6428945,-424362,-23153708,-23153708,-26302209,92263,282069,141439,140630,-19411148,-19411148,-25001590,0,6004584,6428945,-424362,22729347,-23153708,-26302209,92263,282069,141439,140630,19551777,-19411148,-25001590,0
(주)강스템바이오텍,217730,2020/12,9137898,8092210,1045689,-18725365,-18725365,-19755783,-9985,295379,50799,244579,-16744948,-16744948,-19492205,0,9137898,8092210,1045689,19771053,-18725365,-19755783,-9985,295379,50799,244579,16989527,-16744948,-19492205,0
(주)강스템바이오텍,217730,2021/12,12404665,9715792,2688873,-22735544,-22735544,-21810979,15805,3756744,2002823,1753921,-21748206,-21748206,-20437353,0,12404665,9715792,2688873,25424417,-22735544,-21810979,15805,3756744,2002823,1753921,23502127,-21748206,-20437353,0
(주)강스템바이오텍,217730,2022/12,16300573,11427833,4872739,-20558498,-20558498,-20215223,-38963,5914650,3430254,2484396,-21014565,-21014565,-19764612,0,16300573,11427833,4872739,25431238,-20558498,-20215223,-38963,5914650,3430254,2484396,23498961,-21014565,-19764612,0
(주)강원에너지,114190,2012/12,,,,,,,,106471214,85441450,21029764,11611165,11611165,11326035,2351486,,,,,,,,106471214,85441450,21029764,9418599,11611165,11326035,2351486
(주)강원에너지,114190,2013/12,,,,,,,,50660659,38917147,11743512,3234230,3234230,5216892,1294684,,,,,,,,50660659,38917147,11743512,8509282,3234230,5216892,1294684
(주)강원에너지,114190,2014/12,,,,,,,,51481321,40566049,10915272,1626297,1626297,1140650,17456,,,,,,,,51481321,40566049,10915272,9288976,1626297,1140650,17456
(주)강원에너지,114190,2015/12,46188664,38265188,7923475,447206,447206,200281,97800,48852892,40524653,8328239,878120,878120,982206,96423,46188664,38265188,7923475,7476269,447206,200281,97800,48852892,40524653,8328239,7450119,878120,982206,96423
(주)강원에너지,114190,2016/12,42287473,35270278,7017196,-1311190,-1311190,604815,1730186,44448760,37206789,7241971,-901973,-901973,969835,1731892,42287473,35270278,7017196,8328386,-1311190,604815,1730186,44448760,37206789,7241971,8143944,-901973,969835,1731892
(주)강원에너지,114190,2017/12,82034829,81169717,865112,-5588512,-5588512,-7385563,-933744,83113029,82247917,865112,-5421114,-5421114,-7224165,-932858,82034829,81169717,865112,6453624,-5588512,-7385563,-933744,83113029,82247917,865112,6286226,-5421114,-7224165,-932858
(주)강원에너지,114190,2018/12,85905365,80012233,5893132,341329,341329,2522115,813228,85905365,80012233,5893132,532248,532248,2790752,813228,85905365,80012233,5893132,5551803,341329,2522115,813228,85905365,80012233,5893132,5360884,532248,2790752,813228
(주)강원에너지,114190,2019/12,42549622,48688856,-6139234,-17175963,-17175963,-34788362,859076,42549622,48688856,-6139234,-17150531,-17150531,-32601689,859076,42549622,48688856,-6139234,11036729,-17175963,-34788362,859076,42549622,48688856,-6139234,11011297,-17150531,-32601689,859076
(주)강원에너지,114190,2020/12,38345166,40204493,-1859327,-9226308,-9226308,-12874763,0,38345166,40204493,-1859327,-8978062,-8978062,-14039206,0,38345166,40204493,-1859327,7366981,-9226308,-12874763,0,38345166,40204493,-1859327,7118735,-8978062,-14039206,0
(주)강원에너지,114190,2021/12,,,,,,,,44163151,39203779,4959372,1916422,1916422,5399246,0,,,,,,,,44163151,39203779,4959372,3042950,1916422,5399246,0
(주)강원에너지,114190,2022/12,71379940,65332978,6046963,2618432,2618432,2526684,-929414,68798891,63508528,5290363,3003141,3003141,1589418,0,71379940,65332978,6046963,3428530,2618432,2526684,-929414,68798891,63508528,5290363,2287222,3003141,1589418,0
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,,,87660276,75974602,11685674,3017621,3017621,1729769,726008,,,,,,,,87660276,75974602,11685674,8668053,3017621,1729769,726008
(주)고려시멘트,198440,2018/12,,,,,,,,85775723,73108112,12667611,3837563,3837563,6292554,1646684,,,,,,,,85775723,73108112,12667611,8830048,3837563,6292554,1646684
(주)고려시멘트,198440,2019/12,,,,,,,,70921781,65599490,5322291,-459627,-459627,3677875,1048963,,,,,,,,70921781,65599490,5322291,5781918,-459627,3677875,1048963
(주)고려시멘트,198440,2020/12,,,,,,,,70182711,62037927,8144784,4280746,4280746,6016438,1493454,,,,,,,,70182711,62037927,8144784,3864038,4280746,6016438,1493454
(주)고려시멘트,198440,2021/12,,,,,,,,65672532,59068988,6603544,3697680,3697680,6067179,1430139,,,,,,,,65672532,59068988,6603544,2905864,3697680,6067179,1430139
(주)고려시멘트,198440,2022/12,,,,,,,,69904737,79890047,-9985310,-12631267,-12631267,-9754481,-1993510,,,,,,,,69904737,79890047,-9985310,2645957,-12631267,-9754481,-1993510
(주)고바이오랩,348150,2020/12,4591485,1949490,2641995,-12344974,-12344974,-55072387,0,4591485,1949490,2641995,-10213856,-10213856,-56315205,0,4591485,1949490,2641995,14986969,-12344974,-55072387,0,4591485,1949490,2641995,12855851,-10213856,-56315205,0
(주)고바이오랩,348150,2021/12,2893329,984243,1909085,-16337359,-16337359,-16368184,-986268,2893329,984243,1909085,-11047248,-11047248,-18461313,-986268,2893329,984243,1909085,18246445,-16337359,-16368184,-986268,2893329,984243,1909085,12956333,-11047248,-18461313,-986268
(주)고바이오랩,348150,2022/12,11605577,3584876,8020700,-20291548,-20291548,-23030373,355518,7476416,1007223,6469193,-5862676,-5862676,-14399436,355518,11605577,3584876,8020700,28312248,-20291548,-23030373,355518,7476416,1007223,6469193,12331869,-5862676,-14399436,355518
(주)골드앤에스,035290,2012/12,43889087,31012456,12876630,-2330876,-2330876,-6815170,-347676,43889087,31475407,12413679,-2363142,-2363142,-6383965,-347676,43889087,31012456,12876630,15207506,-2330876,-6815170,-347676,43889087,31475407,12413679,14776821,-2363142,-6383965,-347676
(주)골드앤에스,035290,2013/12,39548810,28127986,11420824,-6493110,-6493110,-15321298,1516175,36607591,26382626,10224965,-4982102,-4982102,-14861912,1516175,39548810,28127986,11420824,17913933,-6493110,-15321298,1516175,36607591,26382626,10224965,15207067,-4982102,-14861912,1516175
(주)골드앤에스,035290,2014/12,31287203,23453716,7833487,-3079598,-3079598,-8873644,-182461,29428881,21706823,7722058,-2318778,-2318778,-8241078,-182461,31287203,23453716,7833487,10913085,-3079598,-8873644,-182461,29428881,21706823,7722058,10040836,-2318778,-8241078,-182461
(주)골드앤에스,035290,2015/12,22197935,15199451,6998484,1143768,1143768,-4437490,-45840,22197935,15542053,6655883,1062021,1062021,-9442302,-45840,22197935,15199451,6998484,5854717,1143768,-4437490,-45840,22197935,15542053,6655883,5593861,1062021,-9442302,-45840
(주)골드앤에스,035290,2016/12,15893494,9347753,6545741,402070,402070,624873,234505,15893494,9636887,6256607,389642,389642,622712,234505,15893494,9347753,6545741,6143671,402070,624873,234505,15893494,9636887,6256607,5866965,389642,622712,234505
(주)골드앤에스,035290,2017/12,12802035,8002687,4799349,-3694041,-3694041,-8156806,39069,12802035,8220762,4581274,-3690116,-3690116,-8023554,39069,12802035,8002687,4799349,8493390,-3694041,-8156806,39069,12802035,8220762,4581274,8271390,-3690116,-8023554,39069
(주)골드앤에스,035290,2018/12,8680452,4405757,4274694,-4667030,-4667030,-5049311,-668912,8680452,4348267,4332185,-4559128,-4559128,-4714757,-668912,8680452,4405757,4274694,8941725,-4667030,-5049311,-668912,8680452,4348267,4332185,8891313,-4559128,-4714757,-668912
(주)골드앤에스,035290,2019/12,7642733,6293120,1349614,-7142117,-7142117,-24639136,-15829,7642733,6293120,1349614,-7142117,-7142117,-24899044,-15829,7642733,6293120,1349614,8491730,-7142117,-24639136,-15829,7642733,6293120,1349614,8491730,-7142117,-24899044,-15829
(주)골드앤에스,035290,2020/12,4138760,1042913,3095848,-2343112,-2343112,1396873,-238857,4138760,1042913,3095848,-2343112,-2343112,1396873,-238857,4138760,1042913,3095848,5438959,-2343112,1396873,-238857,4138760,1042913,3095848,5438959,-2343112,1396873,-238857
(주)골드앤에스,035290,2021/12,13506639,8854929,4651710,1355619,1355619,1354282,-60578,13506639,8854929,4651710,1355619,1355619,1354282,-60578,13506639,8854929,4651710,3296090,1355619,1354282,-60578,13506639,8854929,4651710,3296090,1355619,1354282,-60578
(주)골드앤에스,035290,2022/12,9488858,5127227,4361632,-1144160,-1144160,-3990195,-343802,9488858,5127227,4361632,-1144160,-1144160,-3990195,-343802,9488858,5127227,4361632,5505791,-1144160,-3990195,-343802,9488858,5127227,4361632,5505791,-1144160,-3990195,-343802
(주)공구우먼,366030,2022/12,,,,,,,,58686880,32206387,26480493,12661736,12661736,13332933,2004997,,,,,,,,58686880,32206387,26480493,13818757,12661736,13332933,2004997
(주)광명전기,017040,2012/12,117216514,102591227,14625287,4187750,4187750,654668,247051,79318302,70522943,8795358,3566142,3566142,-1365224,198802,117216514,102591227,14625287,10437536,4187750,654668,247051,79318302,70522943,8795358,5229217,3566142,-1365224,198802
(주)광명전기,017040,2013/12,117852824,98728241,19124582,10781483,10781483,9036266,2562785,90344376,76118777,14225599,8443372,8443372,7191017,1889957,117852824,98728241,19124582,8343100,10781483,9036266,2562785,90344376,76118777,14225599,5782227,8443372,7191017,1889957
(주)광명전기,017040,2014/12,134778387,114780200,19998187,12461662,12461662,12654765,3547434,115801471,100019085,15782386,10270079,10270079,10088042,3109535,134778387,114780200,19998187,7536526,12461662,12654765,3547434,115801471,100019085,15782386,5512307,10270079,10088042,3109535
(주)광명전기,017040,2015/12,116316957,98659704,17657253,9342095,9342095,10692996,1801994,93000177,83525805,9474372,3839499,3839499,4196287,753746,116316957,98659704,17657253,8315158,9342095,10692996,1801994,93000177,83525805,9474372,5634873,3839499,4196287,753746
(주)광명전기,017040,2016/12,96942911,87732377,9210533,3616733,3616733,5439991,1614337,96931493,87560184,9371309,3818917,3818917,19452735,3840025,96942911,87732377,9210533,5593800,3616733,5439991,1614337,96931493,87560184,9371309,5552391,3818917,19452735,3840025
(주)광명전기,017040,2017/12,101561159,92454439,9106720,2197753,2197753,-2109863,-66604,105083042,95422477,9660564,3754872,3754872,-1601228,-251374,101561159,92454439,9106720,6908967,2197753,-2109863,-66604,105083042,95422477,9660564,5905693,3754872,-1601228,-251374
(주)광명전기,017040,2018/12,114110654,103304003,10806650,3257516,3257516,4226742,1508651,96949804,87318774,9631030,2970976,2970976,4680528,1498014,114110654,103304003,10806650,7549135,3257516,4226742,1508651,96949804,87318774,9631030,6660054,2970976,4680528,1498014
(주)광명전기,017040,2019/12,131864294,117038701,14825593,7985837,7985837,7016073,577900,125009206,111565450,13443756,7313078,7313078,7213288,742901,131864294,117038701,14825593,6839756,7985837,7016073,577900,125009206,111565450,13443756,6130677,7313078,7213288,742901
(주)광명전기,017040,2020/12,123548325,112292554,11255770,4237433,4237433,5856602,1153538,112536086,101557058,10979027,4730459,4730459,6253226,1187823,123548325,112292554,11255770,7018338,4237433,5856602,1153538,112536086,101557058,10979027,6248569,4730459,6253226,1187823
(주)광명전기,017040,2021/12,137092770,127612107,9480663,2865251,2865251,6652319,793421,122750668,114716176,8034492,2324391,2324391,5478650,889554,137092770,127612107,9480663,6615412,2865251,6652319,793421,122750668,114716176,8034492,5710101,2324391,5478650,889554
(주)광명전기,017040,2022/12,138239356,126781441,11457915,4635071,4635071,6419400,784152,130228176,119750031,10478144,4340165,4340165,4654301,500744,138239356,126781441,11457915,6822844,4635071,6419400,784152,130228176,119750031,10478144,6137980,4340165,4654301,500744
(주)광무,029480,2012/12,41178683,33757502,7421181,-5776949,-5776949,-9927793,173164,40406860,33220101,7186760,-5614534,-5614534,-14939902,173164,41178683,33757502,7421181,13198130,-5776949,-9927793,173164,40406860,33220101,7186760,12801293,-5614534,-14939902,173164
(주)광무,029480,2013/12,20534276,22621739,-2087463,-13904969,-13904969,-28676751,44626,10105219,10221619,-116400,-6899306,-6899306,-33109706,44626,20534276,22621739,-2087463,11817507,-13904969,-28676751,44626,10105219,10221619,-116400,6782906,-6899306,-33109706,44626
(주)광무,029480,2014/12,,,,,,,,38409667,31532738,6876929,1422352,1422352,-859721,0,,,,,,,,38409667,31532738,6876929,5454577,1422352,-859721,0
(주)광무,029480,2015/12,,,,,,,,17648493,13652964,3995529,-620363,-620363,-2727754,0,,,,,,,,17648493,13652964,3995529,4615892,-620363,-2727754,0
(주)광무,029480,2016/12,,,,,,,,26429957,21752231,4677726,1294011,1294011,95615,0,,,,,,,,26429957,21752231,4677726,3383715,1294011,95615,0
(주)광무,029480,2017/12,,,,,,,,21540953,17503183,4037770,199525,199525,-3352682,0,,,,,,,,21540953,17503183,4037770,3838245,199525,-3352682,0
(주)광무,029480,2018/12,23074941,17769834,5305107,-1335245,-1335245,-5120760,0,20707286,17118006,3589280,-671966,-671966,-4875184,0,23074941,17769834,5305107,6640352,-1335245,-5120760,0,20707286,17118006,3589280,4261246,-671966,-4875184,0
(주)광무,029480,2019/12,36483979,21870776,14613203,-3012624,-3012624,-6421201,0,25244176,20873726,4370450,-2260048,-2260048,-6275093,0,36483979,21870776,14613203,17625827,-3012624,-6421201,0,25244176,20873726,4370450,6630498,-2260048,-6275093,0
(주)광무,029480,2020/12,25175823,22385396,2790427,-3573279,-3573279,-19540821,0,25006895,22230097,2776798,-3068879,-3068879,-19141822,0,25175823,22385396,2790427,6363706,-3573279,-19540821,0,25006895,22230097,2776798,5845677,-3068879,-19141822,0
(주)광무,029480,2021/12,18919930,15553190,3366739,-724748,-724748,-878617,-180297,18172583,14834336,3338247,-352260,-352260,-1060361,-180297,18919930,15553190,3366739,4091487,-724748,-878617,-180297,18172583,14834336,3338247,3690507,-352260,-1060361,-180297
(주)광무,029480,2022/12,78221399,70800780,7420619,2375618,2375618,-8313868,-330304,78141399,70800780,7340619,2951789,2951789,-7769959,-328595,78221399,70800780,7420619,5045000,2375618,-8313868,-330304,78141399,70800780,7340619,4388830,2951789,-7769959,-328595
(주)구영테크,053270,2012/12,155788988,134266189,21522799,7488049,7488049,2183660,550651,65451015,53454413,11996602,4839337,4839337,1737848,487672,155788988,134266189,21522799,14034750,7488049,2183660,550651,65451015,53454413,11996602,7157265,4839337,1737848,487672
(주)구영테크,053270,2013/12,172747316,150485036,22262280,7492265,7492265,3694984,1515137,76282590,63114137,13168453,4463036,4463036,2191927,1054525,172747316,150485036,22262280,14770015,7492265,3694984,1515137,76282590,63114137,13168453,8705417,4463036,2191927,1054525
(주)구영테크,053270,2014/12,170528694,148057799,22470895,5438229,5438229,3178447,941859,77799749,64482528,13317221,2782247,2782247,1893768,567089,170528694,148057799,22470895,17032666,5438229,3178447,941859,77799749,64482528,13317221,10534973,2782247,1893768,567089
(주)구영테크,053270,2015/12,172083049,146639036,25444014,6145428,6145428,4954132,795347,87109177,72768430,14340746,3529661,3529661,3655578,459278,172083049,146639036,25444014,19298586,6145428,4954132,795347,87109177,72768430,14340746,10811085,3529661,3655578,459278
(주)구영테크,053270,2016/12,148301597,125781105,22520492,4337719,4337719,3890663,1348213,75320433,61393389,13927044,4114290,4114290,5216513,1296276,148301597,125781105,22520492,18182773,4337719,3890663,1348213,75320433,61393389,13927044,9812754,4114290,5216513,1296276
(주)구영테크,053270,2017/12,149833357,127099113,22734244,5691336,5691336,1739442,382146,74298129,61735712,12562417,3025353,3025353,1329340,90156,149833357,127099113,22734244,17042908,5691336,1739442,382146,74298129,61735712,12562417,9537064,3025353,1329340,90156
