회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원)
(주)광무,029480,2013/12,-759831,-6156953,6615872
(주)광무,029480,2014/12,1529973,2564009,-2908387
(주)광무,029480,2015/12,-550286,2044961,-2056925
(주)광무,029480,2016/12,154459,-3007014,7075165
(주)광무,029480,2017/12,247467,-7185601,2533297
(주)광무,029480,2018/12,-889612,-1332045,1642228
(주)광무,029480,2019/12,-2567529,-18999421,35185574
(주)광무,029480,2020/12,-1654541,4203856,-9578044
(주)광무,029480,2021/12,-697351,-4043945,62678016
(주)광무,029480,2022/12,-34662290,4591144,29149788
(주)구영테크,053270,2012/12,3400845,-12928824,9932859
(주)구영테크,053270,2013/12,6156243,7208450,-12762285
(주)구영테크,053270,2014/12,-1477205,-475784,1527247
(주)구영테크,053270,2015/12,9373875,-4054529,-891795
(주)구영테크,053270,2016/12,12368645,-10098787,-2372449
(주)구영테크,053270,2017/12,3339453,-21760013,23844022
(주)구영테크,053270,2018/12,-2316059,-14236839,8738342
(주)구영테크,053270,2019/12,9760503,-5659531,-3377680
(주)구영테크,053270,2020/12,8014471,-9316325,5459067
(주)구영테크,053270,2021/12,8874095,-8015307,918725
(주)구영테크,053270,2022/12,8019177,-5929147,-3829225
(주)국순당,043650,2012/12,8478916,-10808940,7111594
(주)국순당,043650,2013/12,6875600,-7201301,-1541102
(주)국순당,043650,2014/12,5749495,-3795767,-770618
(주)국순당,043650,2015/12,-5215387,-350008,3981415
(주)국순당,043650,2016/12,2454538,-11010751,-881398
(주)국순당,043650,2017/12,18084724,-3908307,-881446
(주)국순당,043650,2018/12,15817595,-23419217,-2997001
(주)국순당,043650,2019/12,-3808205,17963082,-7721992
(주)국순당,043650,2020/12,12385565,-2606887,-5589256
(주)국순당,043650,2021/12,9260002,-8850731,-2882111
(주)국순당,043650,2022/12,3553202,7916221,-4528167
(주)국영지앤엠,006050,2012/12,-7365050,9456019,4211441
(주)국영지앤엠,006050,2013/12,6008427,-298265,-274770
(주)국영지앤엠,006050,2014/12,3236205,364719,-4938911
(주)국영지앤엠,006050,2015/12,647455,-1747715,2215584
(주)국영지앤엠,006050,2016/12,-3296247,-498703,1500000
(주)국영지앤엠,006050,2017/12,239246,-3251231,155044
(주)국영지앤엠,006050,2018/12,5051582,-329312,-2408429
(주)국영지앤엠,006050,2019/12,-2377260,-396408,2640900
(주)국영지앤엠,006050,2020/12,5497526,-1615345,3453467
(주)국영지앤엠,006050,2021/12,-1777762,-1323899,-149400
(주)국영지앤엠,006050,2022/12,-4154856,-895178,348200
(주)국전약품,307750,2018/12,,,
(주)국전약품,307750,2019/12,,,
(주)국전약품,307750,2020/12,9459523,-5133454,-5597319
(주)국전약품,307750,2021/12,3042065,-32578612,38856196
(주)국전약품,307750,2022/12,-5775430,-77284715,85106362
(주)그린플러스,186230,2019/12,-574078,-1466296,5966552
(주)그린플러스,186230,2020/12,5821354,-9740044,9706402
(주)그린플러스,186230,2021/12,752488,-5041351,15717650
(주)그린플러스,186230,2022/12,12030876,-24749732,3498220
(주)기가레인,049080,2013/12,10891326,-23508555,32404079
(주)기가레인,049080,2014/12,14426620,-26623360,1138773
(주)기가레인,049080,2015/12,-351517,-21080726,25858773
(주)기가레인,049080,2016/12,-3279275,-14467677,10633649
(주)기가레인,049080,2017/12,-3893464,-10625525,14347861
(주)기가레인,049080,2018/12,-9320776,2263291,5119320
(주)기가레인,049080,2019/12,8306714,-1695891,-6232733
(주)기가레인,049080,2020/12,-3158046,20099744,9942993
(주)기가레인,049080,2021/12,7413265,-3535196,-12154932
(주)기가레인,049080,2022/12,-970745,-9068754,1719756
(주)기산텔레콤,035460,2012/12,7329218,7946511,-9373343
(주)기산텔레콤,035460,2013/12,1903830,-481364,-2071000
(주)기산텔레콤,035460,2014/12,2836990,-987658,1241923
(주)기산텔레콤,035460,2015/12,6283220,2327290,-22817
(주)기산텔레콤,035460,2016/12,-1680119,-6745004,-1625185
(주)기산텔레콤,035460,2017/12,2647045,39118,-685385
(주)기산텔레콤,035460,2018/12,-2276209,-3968651,-529528
(주)기산텔레콤,035460,2019/12,5501406,-1044708,3040710
(주)기산텔레콤,035460,2020/12,-2584106,-753814,869346
(주)기산텔레콤,035460,2021/12,-479429,-1194372,-764379
(주)기산텔레콤,035460,2022/12,472144,-4408385,-113740
(주)나노,187790,2014/12,,,
(주)나노,187790,2015/12,-10073298,2156639,3613895
(주)나노,187790,2016/12,-237399,-83842,-454313
(주)나노,187790,2017/12,-460060,-3282598,5653695
(주)나노,187790,2018/12,5871665,-15201451,9033800
(주)나노,187790,2019/12,1909303,-2763790,4542064
(주)나노,187790,2020/12,8335739,-2249142,-1165507
(주)나노,187790,2021/12,43313,-11346180,3788239
(주)나노,187790,2022/12,5404870,4232547,-2915109
(주)나노브릭,286750,2019/12,-1388477,-4977169,5448260
(주)나노브릭,286750,2020/12,1966016,2420541,-1551529
(주)나노브릭,286750,2021/12,-2886912,-8973650,11388251
(주)나노브릭,286750,2022/12,-1084290,-173098,-436761
(주)나노신소재,121600,2012/12,1148914,-705165,-3028886
(주)나노신소재,121600,2013/12,2106797,754888,-2150400
(주)나노신소재,121600,2014/12,1080222,-1362579,410279
(주)나노신소재,121600,2015/12,10954501,-5217538,1031593
(주)나노신소재,121600,2016/12,7393392,-4761744,-2999390
(주)나노신소재,121600,2017/12,9525417,-11412526,-3319906
(주)나노신소재,121600,2018/12,3478436,-1616867,-1571600
(주)나노신소재,121600,2019/12,12314436,-7681809,-917085
(주)나노신소재,121600,2020/12,9481708,-10003453,2862466
(주)나노신소재,121600,2021/12,10782188,-13403643,6602963
(주)나노신소재,121600,2022/12,20369361,-80917816,71041018
(주)나래나노텍,137080,2022/12,-17092190,-42900333,47933795
(주)나이벡,138610,2012/12,-98195,-2438671,434687
(주)나이벡,138610,2013/12,-1814637,-2109946,3831827
(주)나이벡,138610,2014/12,-903853,-676226,712752
(주)나이벡,138610,2015/12,-2133735,-3040273,6058083
(주)나이벡,138610,2016/12,-372211,-2778691,5418074
(주)나이벡,138610,2017/12,563218,-4093449,4239524
(주)나이벡,138610,2018/12,-2307211,-2351276,240466
(주)나이벡,138610,2019/12,-867616,-9695948,14280495
(주)나이벡,138610,2020/12,-501656,-4384424,21868814
(주)나이벡,138610,2021/12,817972,-6174791,-942618
(주)나이벡,138610,2022/12,5439679,-6814904,12571257
(주)나인테크,267320,2017/12,,,
(주)나인테크,267320,2018/12,,,
(주)나인테크,267320,2019/12,,,
(주)나인테크,267320,2020/12,-6113845,-12296172,13865923
(주)나인테크,267320,2021/12,-8555595,-4493879,15189049
(주)나인테크,267320,2022/12,3931212,-14458969,13027550
(주)남성,004270,2012/12,-4199539,2682031,1479816
(주)남성,004270,2013/12,14320713,11848902,-26160786
(주)남성,004270,2014/12,-7544776,-451156,9578503
(주)남성,004270,2015/12,-7703096,1594340,5729656
(주)남성,004270,2016/12,3352114,3784150,-7917482
(주)남성,004270,2017/12,16435033,-11133987,-4599313
(주)남성,004270,2018/12,-465011,-4441748,5119317
(주)남성,004270,2019/12,-4419452,-2465640,7329748
(주)남성,004270,2020/12,78075,5326551,-89131
(주)남성,004270,2021/12,-4316846,-13009646,15710464
(주)남성,004270,2022/12,-16869170,8494583,4490550
(주)내츄럴엔도텍,168330,2013/12,25399130,-10828875,21372973
(주)내츄럴엔도텍,168330,2014/12,10421340,-35461089,1206312
(주)내츄럴엔도텍,168330,2015/12,-7009228,2460579,-4040917
(주)내츄럴엔도텍,168330,2016/12,-18242260,-12113212,39750000
(주)내츄럴엔도텍,168330,2017/12,-7436599,-2471974,-675000
(주)내츄럴엔도텍,168330,2018/12,-5418819,7977227,-725000
(주)내츄럴엔도텍,168330,2019/12,-4205698,-896581,-129066
(주)내츄럴엔도텍,168330,2020/12,-1296462,456660,3896513
(주)내츄럴엔도텍,168330,2021/12,-1699256,-1348043,-115174
(주)내츄럴엔도텍,168330,2022/12,-3706005,2680297,-35552
(주)네오리진,094860,2012/12,3744050,-14766637,7550116
(주)네오리진,094860,2013/12,2743867,-4340723,5260175
(주)네오리진,094860,2014/12,-459317,-2383450,4371037
(주)네오리진,094860,2015/12,-2158231,110724,-1229898
(주)네오리진,094860,2016/12,1480802,-1183314,-333493
(주)네오리진,094860,2017/12,170199,-2072357,2252352
(주)네오리진,094860,2018/12,-47289,-1188446,-313500
(주)네오리진,094860,2019/12,1710274,-805680,1786498
(주)네오리진,094860,2020/12,-857000,-2607612,-100000
(주)네오리진,094860,2021/12,-3593994,-10771812,36330870
(주)네오리진,094860,2022/12,-1632558,-10939363,3008515
(주)네오셈,253590,2018/12,,,
(주)네오셈,253590,2019/12,-4325170,9052284,2016919
(주)네오셈,253590,2020/12,11391997,-38305,-7266156
(주)네오셈,253590,2021/12,-5875926,-16770872,16577503
(주)네오셈,253590,2022/12,-6625268,1431978,-8462403
(주)네오이뮨텍,950220,2021/12,-34348389,-5592238,115314341
(주)네오이뮨텍,950220,2022/12,-44167197,-2440966,133649
(주)네오크레마,311390,2019/12,-987503,-14673364,13225682
(주)네오크레마,311390,2020/12,4112512,-3122210,557247
(주)네오크레마,311390,2021/12,2000526,-644060,224056
(주)네오크레마,311390,2022/12,-95181,-28452676,25894384
(주)네오티스,085910,2012/12,5049341,-7938780,68116
(주)네오티스,085910,2013/12,5249524,-6150864,9049610
(주)네오티스,085910,2014/12,5483549,-13515162,-5671942
(주)네오티스,085910,2015/12,5749103,-2018691,3301665
(주)네오티스,085910,2016/12,712928,-3213511,1400626
(주)네오티스,085910,2017/12,7445746,-3607283,-3489717
(주)네오티스,085910,2018/12,3468514,-2504211,2816286
(주)네오티스,085910,2019/12,2848803,-4449199,2318428
(주)네오티스,085910,2020/12,8293039,-8597630,11901926
(주)네오티스,085910,2021/12,2319804,-15112476,4669157
(주)네오티스,085910,2022/12,2606272,3770421,-6259147
(주)네오펙트,290660,2018/12,-5121646,-13886574,31597097
(주)네오펙트,290660,2019/12,-8282225,-26003048,18438063
(주)네오펙트,290660,2020/12,-6156423,-804692,17664249
(주)네오펙트,290660,2021/12,-3953232,-5461976,-898098
(주)네오펙트,290660,2022/12,-4275155,-285838,4095458
(주)네온테크,306620,2018/12,,,
(주)네온테크,306620,2019/12,,,
(주)네온테크,306620,2020/12,1719609,-5001280,1185007
(주)네온테크,306620,2021/12,-7873071,-606401,6868048
(주)네온테크,306620,2022/12,-1382644,-1664739,2835988
(주)네이블커뮤니케이션즈,153460,2012/12,6349901,-9692005,4943043
(주)네이블커뮤니케이션즈,153460,2013/12,-845156,29524,-28169
(주)네이블커뮤니케이션즈,153460,2014/12,-300776,-747213,-987118
(주)네이블커뮤니케이션즈,153460,2015/12,1081967,316424,180201
(주)네이블커뮤니케이션즈,153460,2016/12,5955698,-2436951,7432602
(주)네이블커뮤니케이션즈,153460,2017/12,-6917389,664660,0
(주)네이블커뮤니케이션즈,153460,2018/12,-914367,3570679,0
(주)네이블커뮤니케이션즈,153460,2019/12,-1958720,-2842836,-14455
(주)네이블커뮤니케이션즈,153460,2020/12,-2035298,-3770807,-14455
(주)네이블커뮤니케이션즈,153460,2021/12,3022062,-2312651,21159
(주)네이블커뮤니케이션즈,153460,2022/12,7228476,-4974155,11532
(주)네이처셀,007390,2012/12,-916669,-785819,1472054
(주)네이처셀,007390,2013/12,745362,-1438625,1250028
(주)네이처셀,007390,2014/12,117389,1254348,59621
(주)네이처셀,007390,2015/12,975505,-16413985,18490624
(주)네이처셀,007390,2016/12,-2144437,-4877344,4790038
(주)네이처셀,007390,2017/12,3479316,751016,1565417
(주)네이처셀,007390,2018/12,3699808,1550557,398348
(주)네이처셀,007390,2019/12,357517,-30724774,36624493
(주)네이처셀,007390,2020/12,-5412080,15506060,10277646
(주)네이처셀,007390,2021/12,-10149935,4823128,-3709519
(주)네이처셀,007390,2022/12,-14505998,-19280234,29070795
(주)네패스아크,330860,2020/12,39050544,-127986994,128360067
(주)네패스아크,330860,2021/12,69485674,-94278420,41239989
(주)네패스아크,330860,2022/12,89051766,-165291096,74398704
(주)넥스턴바이오사이언스,089140,2012/12,3074659,3034373,-4204184
(주)넥스턴바이오사이언스,089140,2013/12,1105960,-26977,-619463
(주)넥스턴바이오사이언스,089140,2014/12,6478339,-110068,-482594
(주)넥스턴바이오사이언스,089140,2015/12,1916264,-2803347,-482594
(주)넥스턴바이오사이언스,089140,2016/12,15257140,-40142429,42709140
(주)넥스턴바이오사이언스,089140,2017/12,5083543,13098148,-4624590
(주)넥스턴바이오사이언스,089140,2018/12,9626670,5753906,-1740579
(주)넥스턴바이오사이언스,089140,2019/12,2735157,-1653139,-788090
(주)넥스턴바이오사이언스,089140,2020/12,235942,16627,-1094559
(주)넥스턴바이오사이언스,089140,2021/12,5748101,-75516331,37527393
(주)넥스턴바이오사이언스,089140,2022/12,1225255,-60026805,48258787
(주)넥스트아이,137940,2012/12,3178092,-1653342,-256989
(주)넥스트아이,137940,2013/12,7640938,-5755698,2910921
(주)넥스트아이,137940,2014/12,3066960,-5268720,-1144221
(주)넥스트아이,137940,2015/12,3323282,-497042,-1802780
(주)넥스트아이,137940,2016/12,2948394,-41285064,39031922
(주)넥스트아이,137940,2017/12,361856,-25092717,30401373
(주)넥스트아이,137940,2018/12,-835112,14320499,-482788
(주)넥스트아이,137940,2019/12,-3800223,-1153709,9849611
(주)넥스트아이,137940,2020/12,-5800851,12412452,-15863395
(주)넥스트아이,137940,2021/12,-2531165,-3564487,-1402149
(주)넥스트아이,137940,2022/12,-4452847,9531703,-12402543
(주)넥스트칩,396270,2022/12,-31608869,-9446946,32451256
(주)넥스틴,348210,2020/12,9772607,-13866188,16100118
(주)넥스틴,348210,2021/12,10403922,-10489714,574165
(주)넥스틴,348210,2022/12,50855029,-3619780,-9854065
(주)노랑풍선,104620,2019/12,6428786,-19064205,13945027
(주)노랑풍선,104620,2020/12,-21877720,843971,9330018
(주)노랑풍선,104620,2021/12,-14110679,-1564152,13611574
(주)노랑풍선,104620,2022/12,-320613,10398400,1087491
(주)노바렉스,194700,2018/12,8485916,-12635074,18580986
(주)노바렉스,194700,2019/12,-426816,-22665952,17516261
(주)노바렉스,194700,2020/12,16648728,-46076051,31856672
(주)노바렉스,194700,2021/12,23996664,-34052987,-2883360
(주)노바렉스,194700,2022/12,19862285,-23355614,11180324
(주)노바텍,285490,2018/12,6473993,-125260,8184072
(주)노바텍,285490,2019/12,5517191,-16879886,-1054286
(주)노바텍,285490,2020/12,9366993,-2112683,11805245
(주)노바텍,285490,2021/12,878776,-11926015,-5085517
(주)노바텍,285490,2022/12,29767099,-6688138,-15900958
(주)노블엠앤비,106520,2012/12,8091140,-22521625,26779222
(주)노블엠앤비,106520,2013/12,20754658,-18965888,17917181
(주)노블엠앤비,106520,2014/12,7109295,-35453901,-5658188
(주)노블엠앤비,106520,2015/12,-5552439,-11512853,20173160
(주)노블엠앤비,106520,2016/12,-7051021,-15774865,18977055
(주)노블엠앤비,106520,2017/12,-8648845,-13638401,24081430
(주)노블엠앤비,106520,2018/12,292835,-7991049,6277490
(주)노블엠앤비,106520,2019/12,3877841,-10496416,7161139
(주)노블엠앤비,106520,2020/12,-5963275,209098,14271707
(주)노블엠앤비,106520,2021/12,-7208403,-39860915,43314688
(주)노블엠앤비,106520,2022/12,2077968,-3050553,-1177406
(주)녹원씨엔아이,065560,2012/12,-5139488,-437407,4511599
(주)녹원씨엔아이,065560,2013/12,-3694842,-770465,1163621
(주)녹원씨엔아이,065560,2014/12,-7575407,-149617,8075018
(주)녹원씨엔아이,065560,2015/12,-5960666,-9785605,14866646
(주)녹원씨엔아이,065560,2016/12,-1819746,-3749717,4933833
(주)녹원씨엔아이,065560,2017/12,-1702377,-65556845,68459315
(주)녹원씨엔아이,065560,2018/12,2422195,-12547687,9922741
(주)녹원씨엔아이,065560,2019/12,5194323,-238043,-8650407
(주)녹원씨엔아이,065560,2020/12,-175707,-22287986,26632282
(주)녹원씨엔아이,065560,2021/12,201405,6202132,-9964843
(주)녹원씨엔아이,065560,2022/12,7380655,-28613308,20672903
(주)누리플랜,069140,2012/12,1816576,-10294667,3726162
(주)누리플랜,069140,2013/12,560406,-325787,827182
(주)누리플랜,069140,2014/12,-1256185,9053559,-8005359
(주)누리플랜,069140,2015/12,-701621,2459410,-1284132
(주)누리플랜,069140,2016/12,-2110663,2005354,1708319
(주)누리플랜,069140,2017/12,545424,-357987,450569
(주)누리플랜,069140,2018/12,-1088457,-8232712,5270379
(주)누리플랜,069140,2019/12,-382652,-11943751,13366760
(주)누리플랜,069140,2020/12,1273509,-959421,-742065
(주)누리플랜,069140,2021/12,-1732085,-872114,1425308
(주)누리플랜,069140,2022/12,2765801,-981009,3198007
(주)누보,332290,2019/12,,,
(주)누보,332290,2020/12,,,
(주)누보,332290,2021/12,,,
(주)누보,332290,2022/12,-13898425,4114448,13792510
(주)뉴로메카,348340,2022/12,-8082024,-19477953,26217028
(주)뉴보텍,060260,2012/12,1117651,42799,-1992416
(주)뉴보텍,060260,2013/12,3715843,-1065325,159374
(주)뉴보텍,060260,2014/12,-537531,-1561646,193471
(주)뉴보텍,060260,2015/12,4630517,-1846833,-95184
(주)뉴보텍,060260,2016/12,1213239,-1293934,786363
(주)뉴보텍,060260,2017/12,-2521646,-2249226,-48588
(주)뉴보텍,060260,2018/12,-993236,-2417472,3352079
(주)뉴보텍,060260,2019/12,4538348,-11262303,9087164
(주)뉴보텍,060260,2020/12,-2109982,-3588299,11546304
(주)뉴보텍,060260,2021/12,-2305159,-3203816,5414205
(주)뉴보텍,060260,2022/12,109603,-7352636,1544810
(주)뉴인텍,012340,2012/12,3057693,-5873733,495218
(주)뉴인텍,012340,2013/12,-401880,-892052,-208380
(주)뉴인텍,012340,2014/12,-2562331,70140,1797482
(주)뉴인텍,012340,2015/12,3710781,-1702579,-2341945
(주)뉴인텍,012340,2016/12,-1346987,-2850983,5026532
(주)뉴인텍,012340,2017/12,1063947,-2846321,1528224
(주)뉴인텍,012340,2018/12,2458351,-4236997,1426803
(주)뉴인텍,012340,2019/12,-288627,-1626305,8192508
(주)뉴인텍,012340,2020/12,1272648,-6547581,-377119
(주)뉴인텍,012340,2021/12,-1940455,-11295970,26429754
(주)뉴인텍,012340,2022/12,-3091632,-13498994,5829842
(주)뉴트리,270870,2018/12,7973515,-6723113,24349146
(주)뉴트리,270870,2019/12,6618170,-15336709,-1784665
(주)뉴트리,270870,2020/12,4279164,-22525733,2991661
(주)뉴트리,270870,2021/12,18578094,-6064832,23177129
(주)뉴트리,270870,2022/12,8589465,-11511567,-6902344
(주)뉴파워프라즈마,144960,2016/12,7980258,-33992434,24879749
(주)뉴파워프라즈마,144960,2017/12,30080241,-29486105,-5323758
(주)뉴파워프라즈마,144960,2018/12,6553742,687963,-3621121
(주)뉴파워프라즈마,144960,2019/12,5171743,-8021728,-160313
(주)뉴파워프라즈마,144960,2020/12,14898852,-93954353,84751279
(주)뉴파워프라즈마,144960,2021/12,24585358,-16433044,-14477045
(주)뉴파워프라즈마,144960,2022/12,13258077,-958243,1436095
(주)다보링크,340360,2019/12,,,
(주)다보링크,340360,2020/12,,,
(주)다보링크,340360,2021/12,-3648991,4246672,1714688
(주)다보링크,340360,2022/12,-1655692,5080588,-2506923
(주)다산네트웍스,039560,2012/12,1915883,-16659209,-20242272
(주)다산네트웍스,039560,2013/12,-5554934,-5369870,24440432
(주)다산네트웍스,039560,2014/12,-21307772,-12258710,18835677
(주)다산네트웍스,039560,2015/12,1815839,-27574460,24517676
(주)다산네트웍스,039560,2016/12,-19811820,-7921621,24979164
(주)다산네트웍스,039560,2017/12,14241008,-12747398,2059577
(주)다산네트웍스,039560,2018/12,8736305,-12518224,-46492
(주)다산네트웍스,039560,2019/12,-3467370,-17476139,25586371
(주)다산네트웍스,039560,2020/12,18102026,-17967083,2982359
(주)다산네트웍스,039560,2021/12,7293640,32314856,-9297772
(주)다산네트웍스,039560,2022/12,-2758308,8048652,-14925745
(주)다이나믹디자인,145210,2015/12,7131227,-1218727,-11752828
(주)다이나믹디자인,145210,2016/12,9054191,-562454,-6187885
(주)다이나믹디자인,145210,2017/12,1078823,-11795165,4417058
(주)다이나믹디자인,145210,2018/12,6455313,3992448,-9824319
(주)다이나믹디자인,145210,2019/12,-1142545,13080871,-12635160
(주)다이나믹디자인,145210,2020/12,-14896512,1248295,42521426
(주)다이나믹디자인,145210,2021/12,-5885,-12783515,14323234
(주)다이나믹디자인,145210,2022/12,-14850796,-13347011,4246624
(주)대림제지,017650,2012/12,24898071,2011738,-19406600
(주)대림제지,017650,2013/12,992157,477009,-2897900
(주)대림제지,017650,2014/12,7118169,-1139965,-1171750
(주)대림제지,017650,2015/12,1723982,-3806375,-104600
(주)대림제지,017650,2016/12,3684412,-6035194,4398600
(주)대림제지,017650,2017/12,4012704,-35136425,32698908
(주)대림제지,017650,2018/12,12691945,-26469750,9089517
(주)대림제지,017650,2019/12,16565004,-2275022,-8922592
(주)대림제지,017650,2020/12,28773607,-1881021,-30128245
(주)대림제지,017650,2021/12,24840489,-5954609,-5157745
(주)대림제지,017650,2022/12,31409069,-25134292,-10512252
(주)대성미생물연구소,036480,2012/12,2332555,-143747,-1466317
(주)대성미생물연구소,036480,2013/12,1890258,-2832684,1009654
(주)대성미생물연구소,036480,2014/12,3834088,-1061070,-2703935
(주)대성미생물연구소,036480,2015/12,7662523,-1315814,-1323000
(주)대성미생물연구소,036480,2016/12,3521009,-4717435,-953200
(주)대성미생물연구소,036480,2017/12,1680636,88581,-602600
(주)대성미생물연구소,036480,2018/12,3136456,-2826688,-697400
(주)대성미생물연구소,036480,2019/12,2315464,-9764430,10695109
(주)대성미생물연구소,036480,2020/12,3236339,-15571890,9558189
(주)대성미생물연구소,036480,2021/12,2203277,-3640754,304821
(주)대성미생물연구소,036480,2022/12,1155408,-1158469,-646291
(주)대성파인텍,104040,2012/12,2642880,1085110,-3560751
(주)대성파인텍,104040,2013/12,4660170,1055150,-848212
(주)대성파인텍,104040,2014/12,2537854,-3538407,-1346058
(주)대성파인텍,104040,2015/12,4861454,-2562122,1503091
